"Defox Extensions","Rozszerzenia Defox"
"SEO Suite Lite","SEO Suite Lite"
"Template Type","Typ szablonu"
"Meta Title","Meta Tytuł"
"Meta Description","Meta Opis"
"Meta Keywords","Meta Słowa kluczowe"
"Meta Robots","Meta Robots"
"Open Graph","Open Graph"
"Template Name","Nazwa szablonu"
"Entity Type","Typ encji"
"Store View","Widok sklepu"
"Priority","Priorytet"
"Status","Status"
"Higher value means higher priority","Wyższa wartość oznacza wyższy priorytet"
"Meta Title Template","Szablon Meta Tytułu"
"Meta Description Template","Szablon Meta Opisu"
"Meta Keywords Template","Szablon Meta Słów kluczowych"
"Meta Robots Template","Szablon Meta Robots"
"Open Graph Templates","Szablony Open Graph"
"Template","Szablon"
"Use variables like {{product.name}}, {{category.name}}, {{store.name}}. Max recommended length: 60 characters.","Użyj zmiennych takich jak {{product.name}}, {{category.name}}, {{store.name}}. Maksymalna zalecana długość: 60 znaków."
"Use variables like {{product.name}}, {{product.description}}, {{category.name}}. Max recommended length: 160 characters.","Użyj zmiennych takich jak {{product.name}}, {{product.description}}, {{category.name}}. Maksymalna zalecana długość: 160 znaków."
"Use variables like {{product.name}}, {{category.name}}. Separate keywords with commas.","Użyj zmiennych takich jak {{product.name}}, {{category.name}}. Rozdziel słowa kluczowe przecinkami."
"OG Title Template","Szablon OG Tytułu"
"OG Description Template","Szablon OG Opisu"
"OG Type Template","Szablon OG Typu"
"OG Image Template","Szablon OG Obrazu"
"Use variables like {{product.name}}, {{category.name}}, {{store.name}}","Użyj zmiennych takich jak {{product.name}}, {{category.name}}, {{store.name}}"
"Use variables like {{product.description}}, {{category.description}}","Użyj zmiennych takich jak {{product.description}}, {{category.description}}"
"Use variables like {{product.image}}, {{category.image}} or specify a full URL","Użyj zmiennych takich jak {{product.image}}, {{category.image}} lub podaj pełny URL"
"Conditions (Advanced)","Warunki (Zaawansowane)"
"Conditions","Warunki"
"Available Variables","Dostępne zmienne"
"General Information","Informacje ogólne"
"General Settings","Ustawienia ogólne"
"Enable Module","Włącz moduł"
"Enable or disable the entire module","Włącz lub wyłącz cały moduł"
"Debug Mode","Tryb debugowania"
"Enable for additional logging and debugging information","Włącz dla dodatkowych informacji logowania i debugowania"
"Cache Settings","Ustawienia pamięci podręcznej"
"Enable Cache","Włącz pamięć podręczną"
"Włącz lub wyłącz pamięć podręczną SEO Suite Lite","Włącz lub wyłącz pamięć podręczną SEO Suite Lite"
"Cache Lifetime (seconds)","Czas życia pamięci podręcznej (sekundy)"
"Default cache lifetime in seconds. Set to 0 for no expiration.","Domyślny czas życia pamięci podręcznej w sekundach. Ustaw na 0 dla braku wygasania."
"Cache Backend","Backend pamięci podręcznej"
